               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.050452,            0.044606,            0.036929,             0.85796,             0.94474,             0.97536,             0.69822,            0.026431,            0.013252,            0.016036,            0.070022,           0.0033309,           0.0033309
                   1,            0.038288,             0.03114,           0.0083352,             0.99793,             0.99896,             0.99473,             0.72014,             0.02464,            0.012171,           0.0028069,            0.039956,           0.0065982,           0.0065982
                   2,            0.032149,            0.028104,           0.0038551,             0.99934,             0.99917,               0.995,              0.8419,            0.016646,            0.010965,           0.0020826,           0.0098242,           0.0097996,           0.0097996
                   3,            0.026045,            0.025998,           0.0029312,             0.99974,             0.99946,               0.995,             0.89998,            0.010777,           0.0090307,             0.00142,            0.009703,            0.009703,            0.009703
                   4,            0.021831,            0.023673,           0.0022481,             0.99947,             0.99994,               0.995,             0.90956,            0.010259,           0.0085095,           0.0011939,            0.009703,            0.009703,            0.009703
                   5,            0.019512,            0.022422,           0.0019684,             0.99988,             0.99982,               0.995,             0.90892,           0.0086612,           0.0079924,           0.0010644,            0.009604,            0.009604,            0.009604
                   6,            0.018136,            0.021372,           0.0016627,             0.99977,             0.99993,               0.995,             0.93719,           0.0082675,           0.0075378,           0.0010632,            0.009505,            0.009505,            0.009505
                   7,            0.016979,            0.020477,           0.0015416,              0.9999,             0.99984,               0.995,             0.93665,           0.0079781,           0.0073923,            0.001077,            0.009406,            0.009406,            0.009406
                   8,             0.01548,            0.019813,           0.0014577,             0.99986,             0.99987,               0.995,             0.95558,           0.0064619,           0.0070779,          0.00087394,            0.009307,            0.009307,            0.009307
                   9,            0.014817,            0.019087,           0.0013454,             0.99989,             0.99984,               0.995,             0.95556,           0.0065064,           0.0068888,          0.00070884,            0.009208,            0.009208,            0.009208
                  10,             0.01411,            0.018721,           0.0012305,             0.99994,             0.99963,               0.995,             0.96706,           0.0059927,           0.0065656,          0.00066788,            0.009109,            0.009109,            0.009109
                  11,            0.013435,            0.018101,           0.0011731,             0.99995,             0.99988,               0.995,             0.97183,           0.0058635,           0.0064375,           0.0006235,             0.00901,             0.00901,             0.00901
                  12,            0.013147,            0.017893,           0.0010892,             0.99992,             0.99981,               0.995,             0.96887,           0.0058137,           0.0062847,          0.00064086,            0.008911,            0.008911,            0.008911
                  13,            0.012422,            0.017113,           0.0010619,             0.99993,             0.99981,               0.995,             0.97817,           0.0052939,           0.0060411,          0.00061228,            0.008812,            0.008812,            0.008812
                  14,            0.012217,            0.016861,            0.001003,             0.99992,             0.99992,               0.995,             0.97784,           0.0051208,           0.0057379,          0.00066796,            0.008713,            0.008713,            0.008713
                  15,            0.011733,            0.016682,          0.00091248,             0.99972,             0.99998,               0.995,             0.97886,           0.0050216,           0.0057013,          0.00055599,            0.008614,            0.008614,            0.008614
                  16,            0.011474,            0.016327,          0.00090528,             0.99996,             0.99987,               0.995,             0.98194,           0.0049732,           0.0058599,          0.00050594,            0.008515,            0.008515,            0.008515
                  17,            0.011374,             0.01631,           0.0008972,             0.99986,             0.99984,               0.995,             0.98194,           0.0048223,           0.0056819,          0.00047793,            0.008416,            0.008416,            0.008416
                  18,            0.010841,            0.016044,          0.00085932,             0.99992,             0.99987,               0.995,             0.98338,           0.0048746,           0.0057179,          0.00043719,            0.008317,            0.008317,            0.008317
                  19,            0.010755,            0.015865,          0.00084259,             0.99994,             0.99984,               0.995,             0.98361,           0.0047135,            0.005567,          0.00051351,            0.008218,            0.008218,            0.008218
                  20,            0.010558,             0.01566,          0.00080116,             0.99995,             0.99986,               0.995,             0.98523,           0.0046042,            0.005519,          0.00046466,            0.008119,            0.008119,            0.008119
                  21,            0.010427,             0.01534,          0.00080163,              0.9999,             0.99984,               0.995,             0.98691,           0.0044986,           0.0054078,          0.00037108,             0.00802,             0.00802,             0.00802
                  22,            0.010117,            0.015234,          0.00073704,             0.99991,             0.99988,               0.995,             0.98809,           0.0043894,           0.0053041,          0.00044636,            0.007921,            0.007921,            0.007921
                  23,            0.009966,            0.015223,          0.00076734,             0.99971,              0.9999,               0.995,             0.98798,           0.0042927,           0.0051713,          0.00043657,            0.007822,            0.007822,            0.007822
                  24,           0.0099428,            0.014897,          0.00070548,             0.99984,             0.99992,               0.995,             0.98707,           0.0042382,            0.005257,          0.00038812,            0.007723,            0.007723,            0.007723
                  25,           0.0096147,            0.014646,          0.00070888,             0.99989,              0.9999,               0.995,             0.98915,           0.0042172,           0.0051853,          0.00037052,            0.007624,            0.007624,            0.007624
                  26,           0.0097183,            0.014862,          0.00070366,              0.9999,             0.99983,               0.995,             0.98724,           0.0042284,            0.005245,          0.00035812,            0.007525,            0.007525,            0.007525
                  27,           0.0093814,             0.01468,          0.00075944,             0.99985,             0.99996,               0.995,             0.98989,            0.004083,           0.0050404,          0.00036516,            0.007426,            0.007426,            0.007426
                  28,           0.0093254,             0.01452,          0.00064855,             0.99993,             0.99978,               0.995,             0.98938,           0.0040289,           0.0051051,          0.00036789,            0.007327,            0.007327,            0.007327
                  29,           0.0090484,            0.014177,          0.00067629,             0.99987,             0.99989,               0.995,             0.99052,           0.0039468,           0.0049263,          0.00038051,            0.007228,            0.007228,            0.007228
                  30,           0.0090852,            0.014177,          0.00063439,             0.99993,             0.99999,               0.995,             0.98895,           0.0040799,           0.0050902,          0.00034037,            0.007129,            0.007129,            0.007129
                  31,           0.0089408,            0.014123,          0.00063893,             0.99982,              0.9999,               0.995,             0.99053,           0.0038865,           0.0050155,          0.00036091,             0.00703,             0.00703,             0.00703
                  32,           0.0087043,            0.013915,          0.00063923,             0.99994,             0.99989,               0.995,             0.99108,           0.0038375,           0.0048905,          0.00033366,            0.006931,            0.006931,            0.006931
                  33,           0.0086025,            0.013811,          0.00061822,             0.99995,             0.99991,               0.995,             0.99029,           0.0038012,           0.0048892,          0.00033888,            0.006832,            0.006832,            0.006832
