               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12471,            0.043889,            0.057237,             0.11111,                   1,               0.995,             0.34825,             0.11237,            0.026377,             0.05957,              0.0991,              0.0001,              0.0001
                   1,             0.12409,            0.044084,            0.055934,                 0.1,                   1,               0.995,             0.33305,             0.11233,            0.026081,            0.059586,            0.097299,          0.00029851,          0.00029851
                   2,             0.12355,            0.042864,            0.055552,               0.125,                   1,               0.995,               0.398,             0.11334,            0.025448,            0.059799,            0.095495,          0.00049505,          0.00049505
                   3,              0.1228,            0.043641,            0.056152,            0.076923,                   1,               0.995,               0.398,             0.11413,            0.024708,            0.059525,             0.09369,           0.0006896,           0.0006896
                   4,             0.12141,            0.038874,            0.055771,               0.125,                   1,               0.995,              0.2985,              0.1134,            0.024597,            0.059402,            0.091882,          0.00088218,          0.00088218
                   5,             0.11916,            0.037777,            0.055324,                 0.1,                   1,              0.4975,             0.14925,             0.11031,            0.026707,            0.059402,            0.090073,           0.0010728,           0.0010728
                   6,             0.12175,             0.04374,            0.055579,            0.090909,                   1,               0.995,              0.2985,             0.11231,            0.025442,            0.060318,            0.088261,           0.0012614,           0.0012614
                   7,             0.12025,            0.035725,            0.056066,            0.034483,                   1,               0.995,             0.28523,             0.10808,            0.025139,            0.061661,            0.086448,            0.001448,            0.001448
                   8,             0.11609,            0.038116,            0.056904,            0.029412,                   1,               0.995,             0.22294,             0.10731,            0.024986,            0.061462,            0.084633,           0.0016327,           0.0016327
                   9,             0.11678,            0.038212,            0.054499,            0.028571,                   1,               0.995,              0.2388,              0.1149,            0.022808,            0.060852,            0.082815,           0.0018154,           0.0018154
                  10,             0.11414,            0.041196,            0.054537,            0.019608,                   1,             0.03431,            0.019479,             0.11843,              0.0215,            0.054596,            0.080996,            0.001996,            0.001996
                  11,              0.1118,            0.038964,            0.054918,            0.019608,                   1,             0.03431,            0.019479,             0.11843,              0.0215,            0.054596,            0.079175,           0.0021748,           0.0021748
                  12,             0.11141,            0.038129,            0.055727,            0.014085,                   1,             0.14214,            0.044594,             0.11651,            0.020388,            0.051666,            0.077352,           0.0023515,           0.0023515
                  13,             0.10746,            0.039252,            0.052962,            0.019231,                   1,            0.090455,             0.02705,             0.11533,            0.019423,            0.052109,            0.075526,           0.0025263,           0.0025263
