               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.055376,            0.057398,            0.041299,             0.59175,             0.88802,             0.78215,             0.50293,             0.02895,            0.014482,            0.023295,            0.069384,           0.0026622,           0.0026622
                   1,            0.040913,            0.041528,            0.016321,             0.93211,             0.98853,             0.98443,             0.72075,            0.027817,            0.012234,           0.0035993,            0.038665,           0.0052761,           0.0052761
                   2,            0.035649,            0.036666,           0.0048079,             0.99966,             0.99937,               0.995,             0.77678,            0.020355,             0.01131,           0.0023368,           0.0078927,           0.0078373,           0.0078373
                   3,            0.028061,            0.033232,           0.0031656,             0.99815,             0.99741,               0.995,             0.86132,            0.013817,            0.010668,           0.0021159,           0.0077624,           0.0077624,           0.0077624
                   4,            0.023251,             0.03037,           0.0024295,             0.99971,             0.99929,               0.995,             0.88901,            0.011367,           0.0087639,           0.0013362,           0.0077624,           0.0077624,           0.0077624
                   5,            0.020868,            0.028441,           0.0021115,             0.99955,             0.99931,               0.995,             0.90762,            0.010998,           0.0082322,           0.0013682,           0.0076832,           0.0076832,           0.0076832
                   6,            0.019546,             0.02847,           0.0017743,             0.99968,             0.99984,               0.995,             0.91217,           0.0092665,           0.0084292,            0.001119,            0.007604,            0.007604,            0.007604
                   7,            0.017793,            0.027027,           0.0016817,              0.9999,             0.99982,               0.995,             0.93375,           0.0086374,           0.0075061,          0.00098293,           0.0075248,           0.0075248,           0.0075248
                   8,            0.017164,            0.026331,           0.0015468,             0.99994,             0.99948,               0.995,             0.93218,           0.0082031,            0.007826,          0.00093943,           0.0074456,           0.0074456,           0.0074456
                   9,             0.01629,            0.025687,           0.0015033,             0.99991,             0.99969,               0.995,             0.93349,            0.007983,           0.0075052,          0.00067319,           0.0073664,           0.0073664,           0.0073664
                  10,            0.015756,            0.024727,           0.0012731,             0.99992,             0.99962,               0.995,             0.94602,           0.0075742,            0.007262,          0.00076546,           0.0072872,           0.0072872,           0.0072872
                  11,            0.015134,            0.024629,           0.0011839,             0.99986,             0.99974,               0.995,             0.95563,           0.0069767,           0.0070496,          0.00072428,            0.007208,            0.007208,            0.007208
                  12,            0.014686,            0.023879,           0.0011594,             0.99989,             0.99985,               0.995,             0.95742,           0.0064465,           0.0067079,          0.00067818,           0.0071288,           0.0071288,           0.0071288
                  13,            0.014242,            0.024057,           0.0011551,             0.99992,             0.99951,               0.995,             0.95846,           0.0066891,           0.0066972,          0.00065996,           0.0070496,           0.0070496,           0.0070496
                  14,            0.013485,            0.021814,           0.0010688,             0.99985,             0.99971,               0.995,             0.95609,           0.0066277,           0.0070083,          0.00054662,           0.0069704,           0.0069704,           0.0069704
                  15,            0.013446,            0.022908,           0.0010296,             0.99983,             0.99979,               0.995,             0.96449,           0.0061169,           0.0063746,          0.00061126,           0.0068912,           0.0068912,           0.0068912
                  16,            0.013059,            0.023032,           0.0010328,              0.9999,             0.99971,               0.995,             0.96148,           0.0059164,           0.0061928,          0.00054787,            0.006812,            0.006812,            0.006812
                  17,            0.012673,             0.02233,          0.00093054,             0.99958,             0.99988,               0.995,             0.96939,           0.0058374,           0.0062216,          0.00045219,           0.0067328,           0.0067328,           0.0067328
                  18,            0.012345,            0.021138,          0.00093265,              0.9999,             0.99977,               0.995,             0.97312,           0.0054911,           0.0059554,           0.0005018,           0.0066536,           0.0066536,           0.0066536
                  19,            0.012141,            0.021621,          0.00094983,             0.99991,             0.99986,               0.995,             0.97128,           0.0054549,           0.0060604,          0.00046516,           0.0065744,           0.0065744,           0.0065744
                  20,            0.011934,            0.020958,          0.00080548,             0.99992,              0.9999,               0.995,             0.97222,           0.0054003,           0.0059376,          0.00054473,           0.0064952,           0.0064952,           0.0064952
