               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.065382,            0.054872,            0.048136,             0.27242,             0.83849,             0.40234,             0.26791,               0.028,            0.021052,            0.043734,            0.067055,          0.00033278,          0.00033278
                   1,            0.031708,             0.03253,            0.041846,              0.5647,              0.7305,             0.68784,             0.51654,             0.02125,            0.014857,            0.035856,            0.034042,          0.00065292,          0.00065292
                   2,            0.028313,             0.02707,            0.031731,             0.90149,             0.89318,              0.9545,             0.76138,            0.019528,            0.013405,            0.020622,           0.0010153,          0.00095987,          0.00095987
                   3,            0.026412,            0.023709,            0.016386,             0.99636,             0.99565,             0.99494,             0.83747,            0.018117,            0.011816,           0.0056893,           0.0009406,           0.0009406,           0.0009406
                   4,            0.024103,            0.021659,               0.007,             0.99934,             0.99858,               0.995,             0.87335,            0.014126,            0.010785,           0.0026198,           0.0009406,           0.0009406,           0.0009406
                   5,            0.021717,            0.019959,            0.004325,             0.99985,             0.99864,               0.995,             0.88454,            0.012504,            0.010065,           0.0018011,           0.0009208,           0.0009208,           0.0009208
                   6,             0.02015,            0.020087,           0.0033525,              0.9997,             0.99912,               0.995,             0.90196,            0.011587,            0.009522,           0.0014678,            0.000901,            0.000901,            0.000901
                   7,            0.018812,            0.018903,           0.0027333,             0.99962,             0.99897,               0.995,             0.90032,            0.010957,           0.0093763,           0.0012663,           0.0008812,           0.0008812,           0.0008812
                   8,            0.017709,            0.018474,           0.0023951,             0.99947,             0.99919,               0.995,             0.91451,           0.0094686,             0.00873,           0.0011062,           0.0008614,           0.0008614,           0.0008614
                   9,            0.016715,            0.017448,           0.0020425,             0.99967,             0.99926,               0.995,             0.91481,           0.0098748,           0.0087393,           0.0010156,           0.0008416,           0.0008416,           0.0008416
                  10,             0.01604,            0.016882,           0.0018281,             0.99954,             0.99922,               0.995,             0.93325,           0.0085787,             0.00838,           0.0009184,           0.0008218,           0.0008218,           0.0008218
                  11,            0.015392,            0.016734,           0.0016967,              0.9997,             0.99933,               0.995,             0.92732,           0.0086229,           0.0084043,          0.00085078,            0.000802,            0.000802,            0.000802
                  12,            0.014827,            0.016325,           0.0015385,             0.99968,             0.99937,               0.995,             0.93383,           0.0082286,           0.0081467,          0.00078169,           0.0007822,           0.0007822,           0.0007822
                  13,            0.014227,            0.016319,           0.0014202,             0.99973,              0.9994,               0.995,             0.93541,           0.0081327,            0.007885,          0.00075217,           0.0007624,           0.0007624,           0.0007624
                  14,            0.013675,            0.014876,           0.0013214,             0.99963,              0.9994,               0.995,             0.93888,           0.0077508,           0.0078431,          0.00071843,           0.0007426,           0.0007426,           0.0007426
                  15,            0.013431,            0.015773,            0.001295,             0.99974,             0.99934,               0.995,             0.94285,           0.0077185,           0.0076832,          0.00068203,           0.0007228,           0.0007228,           0.0007228
                  16,             0.01308,            0.015876,           0.0012103,             0.99976,             0.99952,               0.995,             0.94563,           0.0071958,           0.0073802,          0.00064242,            0.000703,            0.000703,            0.000703
                  17,            0.012704,            0.015298,           0.0011232,              0.9997,             0.99959,               0.995,             0.94845,           0.0071995,           0.0074297,          0.00060248,           0.0006832,           0.0006832,           0.0006832
                  18,            0.012296,            0.014483,           0.0010384,             0.99979,             0.99958,               0.995,             0.94897,            0.007232,           0.0074992,          0.00057457,           0.0006634,           0.0006634,           0.0006634
                  19,            0.011995,            0.014669,           0.0010193,             0.99971,             0.99958,               0.995,             0.95218,           0.0069022,           0.0072668,          0.00055153,           0.0006436,           0.0006436,           0.0006436
                  20,            0.011744,            0.014438,          0.00098275,             0.99974,             0.99958,               0.995,               0.953,           0.0067472,           0.0071162,          0.00053351,           0.0006238,           0.0006238,           0.0006238
                  21,            0.011473,            0.014384,          0.00094439,             0.99975,             0.99955,               0.995,             0.95542,           0.0066209,           0.0070169,          0.00051506,            0.000604,            0.000604,            0.000604
                  22,              0.0112,            0.013587,          0.00088293,             0.99979,             0.99946,               0.995,             0.95785,            0.006444,           0.0069516,           0.0004887,           0.0005842,           0.0005842,           0.0005842
                  23,              0.0109,            0.013496,          0.00081334,             0.99992,             0.99958,               0.995,             0.95728,           0.0064051,           0.0068597,          0.00045651,           0.0005644,           0.0005644,           0.0005644
                  24,             0.01069,            0.013277,           0.0008095,             0.99979,             0.99959,               0.995,             0.95947,           0.0062372,           0.0068379,          0.00044262,           0.0005446,           0.0005446,           0.0005446
                  25,            0.010682,            0.014627,          0.00079395,             0.99986,             0.99955,               0.995,             0.95992,           0.0062262,           0.0067655,           0.0004226,           0.0005248,           0.0005248,           0.0005248
                  26,            0.010315,             0.01331,          0.00078955,             0.99993,             0.99958,               0.995,             0.96168,           0.0061072,           0.0066968,          0.00040229,            0.000505,            0.000505,            0.000505
                  27,            0.010235,            0.013818,          0.00074698,              0.9999,             0.99962,               0.995,               0.962,           0.0060841,           0.0067066,          0.00036815,           0.0004852,           0.0004852,           0.0004852
                  28,           0.0098567,            0.012891,          0.00065333,             0.99993,             0.99963,               0.995,             0.96216,           0.0059535,           0.0065581,          0.00034609,           0.0004654,           0.0004654,           0.0004654
                  29,           0.0098103,             0.01336,          0.00071282,              0.9999,             0.99959,               0.995,             0.96169,           0.0060512,           0.0066723,          0.00033619,           0.0004456,           0.0004456,           0.0004456
                  30,           0.0096369,            0.013242,          0.00067715,             0.99993,             0.99966,               0.995,              0.9632,            0.005942,           0.0064761,          0.00031616,           0.0004258,           0.0004258,           0.0004258
                  31,           0.0095422,            0.013545,          0.00067206,             0.99994,             0.99964,               0.995,             0.96513,           0.0057921,           0.0064269,           0.0003045,            0.000406,            0.000406,            0.000406
                  32,           0.0092893,            0.012901,          0.00061107,             0.99993,             0.99964,               0.995,             0.96517,            0.005765,           0.0063302,          0.00026754,           0.0003862,           0.0003862,           0.0003862
                  33,           0.0091924,             0.01325,          0.00060619,             0.99994,             0.99964,               0.995,             0.96569,           0.0057691,           0.0063823,          0.00027073,           0.0003664,           0.0003664,           0.0003664
                  34,           0.0088695,            0.012429,          0.00056418,             0.99987,             0.99976,               0.995,             0.96692,           0.0056782,           0.0063597,          0.00023815,           0.0003466,           0.0003466,           0.0003466
                  35,           0.0088975,            0.012679,          0.00057039,             0.99985,             0.99978,               0.995,             0.96643,           0.0056789,           0.0063163,          0.00023158,           0.0003268,           0.0003268,           0.0003268
                  36,           0.0086359,            0.011842,          0.00053871,             0.99992,             0.99971,               0.995,             0.96813,           0.0055811,           0.0062743,          0.00020327,            0.000307,            0.000307,            0.000307
                  37,           0.0085228,            0.012191,          0.00049822,              0.9999,             0.99972,               0.995,             0.96711,           0.0055601,           0.0062442,          0.00018931,           0.0002872,           0.0002872,           0.0002872
                  38,           0.0083343,            0.011932,           0.0004544,             0.99991,             0.99982,               0.995,             0.96809,           0.0055278,           0.0061909,          0.00017888,           0.0002674,           0.0002674,           0.0002674
                  39,           0.0082675,            0.012145,          0.00047944,             0.99993,             0.99969,               0.995,             0.97056,           0.0054234,           0.0061776,          0.00016999,           0.0002476,           0.0002476,           0.0002476
                  40,           0.0082288,            0.011918,          0.00049432,             0.99991,             0.99969,               0.995,             0.96992,           0.0054246,           0.0061682,          0.00015466,           0.0002278,           0.0002278,           0.0002278
                  41,           0.0080847,            0.011653,          0.00045159,             0.99991,             0.99971,               0.995,             0.97091,           0.0053849,           0.0061255,          0.00014197,            0.000208,            0.000208,            0.000208
