               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10589,             0.00884,            0.031281,           0.0022977,             0.23011,           0.0017171,          0.00036767,             0.10451,           0.0062345,            0.031713,            0.080306,           0.0002392,           0.0002392
                   1,             0.10583,           0.0087985,            0.031348,           0.0022883,             0.22797,           0.0016874,          0.00035816,             0.10435,            0.006236,            0.031687,            0.060543,          0.00047627,          0.00047627
                   2,             0.10591,           0.0088421,            0.031353,            0.002322,             0.23013,           0.0017018,          0.00035861,             0.10437,           0.0062148,            0.031717,            0.040777,          0.00071041,          0.00071041
                   3,             0.10585,           0.0087726,            0.031324,           0.0023287,             0.23043,           0.0017507,          0.00036999,             0.10438,           0.0062174,            0.031681,            0.021008,          0.00094161,          0.00094161
                   4,             0.10592,           0.0085599,             0.03132,           0.0022981,              0.2283,           0.0016705,          0.00035465,             0.10429,           0.0062106,            0.031691,           0.0012363,           0.0011699,           0.0011699
                   5,             0.10587,           0.0088652,            0.031343,           0.0022981,             0.22761,           0.0016505,          0.00034953,             0.10416,           0.0062137,            0.031691,           0.0011633,           0.0011633,           0.0011633
                   6,             0.10588,           0.0085436,            0.031378,           0.0022949,             0.22705,           0.0016426,          0.00035246,             0.10427,           0.0062037,            0.031703,           0.0011633,           0.0011633,           0.0011633
                   7,             0.10581,           0.0086805,            0.031277,           0.0022991,             0.22886,           0.0016796,          0.00036446,             0.10444,           0.0062168,            0.031672,            0.001156,            0.001156,            0.001156
                   8,              0.1059,           0.0085484,            0.031379,           0.0022948,             0.22812,           0.0017078,          0.00036194,             0.10435,           0.0062191,            0.031682,           0.0011486,           0.0011486,           0.0011486
                   9,              0.1058,           0.0084441,            0.031271,           0.0022653,             0.22453,           0.0016423,          0.00035203,             0.10433,           0.0062409,             0.03172,           0.0011413,           0.0011413,           0.0011413
                  10,             0.10572,           0.0082744,            0.031318,           0.0022471,             0.22519,           0.0016275,          0.00034153,             0.10425,           0.0062211,            0.031692,            0.001134,            0.001134,            0.001134
                  11,             0.10586,           0.0084239,            0.031359,           0.0022964,             0.22838,           0.0016431,          0.00034994,              0.1042,           0.0062159,            0.031699,           0.0011266,           0.0011266,           0.0011266
                  12,             0.10589,           0.0087575,              0.0313,           0.0023594,             0.23404,           0.0016775,           0.0003528,             0.10409,           0.0062117,            0.031667,           0.0011193,           0.0011193,           0.0011193
                  13,             0.10582,           0.0086914,            0.031357,           0.0022862,             0.22701,           0.0016948,          0.00035552,             0.10433,           0.0062268,            0.031666,            0.001112,            0.001112,            0.001112
                  14,             0.10601,           0.0088648,            0.031367,           0.0023421,             0.23312,           0.0017514,          0.00036771,             0.10446,           0.0062077,            0.031676,           0.0011046,           0.0011046,           0.0011046
