=== MobileNetV2 动物分类训练日志 ===

训练轮次: 100
最佳验证准确率: 1.0000
最终训练损失: 0.4673
最终训练准确率: 1.0000
最终验证准确率: 1.0000

详细训练记录:
Epoch	Train_Loss	Train_Acc	Val_Acc
--------------------------------------------------
  1	1.671331	0.066667	0.333333
  2	1.637183	0.133333	0.400000
  3	1.577494	0.200000	0.400000
  4	1.491351	0.466667	0.400000
  5	1.470663	0.466667	0.466667
  6	1.510232	0.466667	0.533333
  7	1.434668	0.400000	0.533333
  8	1.426536	0.466667	0.533333
  9	1.448686	0.466667	0.533333
 10	1.392613	0.600000	0.533333
 11	1.386153	0.533333	0.533333
 12	1.445048	0.466667	0.533333
 13	1.395735	0.600000	0.600000
 14	1.331263	0.800000	0.600000
 15	1.301743	0.866667	0.666667
 16	1.301233	1.000000	0.800000
 17	1.273909	0.733333	0.800000
 18	1.305949	0.866667	0.800000
 19	1.354141	0.466667	0.866667
 20	1.277829	0.733333	0.866667
 21	1.331384	0.733333	0.866667
 22	1.191410	0.866667	0.933333
 23	1.165614	1.000000	0.933333
 24	1.197507	0.933333	0.933333
 25	1.177146	0.800000	0.933333
 26	1.164602	0.933333	0.933333
 27	1.249641	0.866667	0.933333
 28	1.232317	0.800000	1.000000
 29	1.118871	0.933333	1.000000
 30	1.116472	0.933333	1.000000
 31	1.121293	0.933333	1.000000
 32	1.076362	0.933333	1.000000
 33	1.072344	0.933333	1.000000
 34	0.962459	0.933333	1.000000
 35	1.032064	1.000000	1.000000
 36	1.034917	1.000000	1.000000
 37	1.024405	0.933333	1.000000
 38	1.088348	0.866667	1.000000
 39	0.996028	1.000000	1.000000
 40	1.029771	0.933333	1.000000
 41	0.940122	1.000000	1.000000
 42	1.005124	1.000000	1.000000
 43	0.959564	1.000000	1.000000
 44	0.867978	1.000000	1.000000
 45	0.880471	1.000000	1.000000
 46	0.943967	0.933333	1.000000
 47	0.955643	0.933333	1.000000
 48	0.861442	1.000000	1.000000
 49	0.863486	1.000000	1.000000
 50	0.926863	0.933333	1.000000
 51	0.858066	1.000000	1.000000
 52	0.850646	1.000000	1.000000
 53	0.909883	1.000000	1.000000
 54	0.842161	1.000000	1.000000
 55	0.835135	1.000000	1.000000
 56	0.874283	1.000000	1.000000
 57	0.769170	1.000000	1.000000
 58	0.706349	1.000000	1.000000
 59	0.770289	1.000000	1.000000
 60	0.826764	0.933333	1.000000
 61	0.764029	1.000000	1.000000
 62	0.781559	1.000000	1.000000
 63	0.766522	1.000000	1.000000
 64	0.802844	0.866667	1.000000
 65	0.687867	1.000000	1.000000
 66	0.754010	1.000000	1.000000
 67	0.717194	0.933333	1.000000
 68	0.828400	1.000000	1.000000
 69	0.694466	0.933333	1.000000
 70	0.639379	1.000000	1.000000
 71	0.691160	1.000000	1.000000
 72	0.609510	1.000000	1.000000
 73	0.565514	1.000000	1.000000
 74	0.653893	1.000000	1.000000
 75	0.613724	1.000000	1.000000
 76	0.578427	1.000000	1.000000
 77	0.545334	1.000000	1.000000
 78	0.787424	1.000000	1.000000
 79	0.624680	1.000000	1.000000
 80	0.589713	1.000000	1.000000
 81	0.642196	0.933333	1.000000
 82	0.606739	1.000000	1.000000
 83	0.543349	1.000000	1.000000
 84	0.583053	1.000000	1.000000
 85	0.613369	1.000000	1.000000
 86	0.666899	1.000000	1.000000
 87	0.636202	1.000000	1.000000
 88	0.529369	1.000000	1.000000
 89	0.613063	1.000000	1.000000
 90	0.571811	1.000000	1.000000
 91	0.480566	1.000000	1.000000
 92	0.534354	1.000000	1.000000
 93	0.536482	1.000000	1.000000
 94	0.654189	0.933333	1.000000
 95	0.561583	1.000000	1.000000
 96	0.495249	1.000000	1.000000
 97	0.557311	1.000000	1.000000
 98	0.431501	1.000000	1.000000
 99	0.483616	1.000000	1.000000
100	0.467307	1.000000	1.000000
